SL,NAME OF RETAIL OUTLET,LOCATION,DISTRICT,STATE,BANK
1,SRI VENKATESHWAR AGENCIES,"S NO-83/2, NH-5 ROAD,KOMATIPALLI",VIZIANAGARAM,Andhra Pradesh,SBI
2,RATNAM FILLING STATION,"PLOT NO. S NO. 379, PALAKALURU VILL GUNTUR DIST 522005,GUNTUR",GUNTUR,Andhra Pradesh,SBI
3,SRI RAMAKRISHNA SERVICE STATION,"TIRUPATI ROAD TIRUPATI ROAD,TIRUPATI ROAD YELLANKIVARIPALLE",CHITTOOR,Andhra Pradesh,SBI
4,SRI MALLIKARJUNA TRADERS,"Kadapa Rd., Kurabalakota, Angallu,Andhra Pradesh",CHITTOOR,Andhra Pradesh,SBI
5,SRI JYOTHESWARI KSK,"KANDUR CROSS ROAD KANDUR CROSS ROAD,KANDUR CROSS ROAD SOMALA",CHITTOOR,Andhra Pradesh,SBI
6,BHARGAVI SRUTHI KISSAN SEVA KENDRA,"SY NO 206/2PYKI, PALUKURU X ROAD, NANDIVARGAM VIL, BANAGANAPALLE MDL,KURNOOL,KURNOOL",KURNOOL,Andhra Pradesh,SBI
7,SREE NIDHI KISAN SEVA KENDRA,"# 377/1, OPP GOVT HOSPITAL,GADIVEMULA",KURNOOL,Andhra Pradesh,SBI
8,M/S DSR FILLING STATION,"7th Mile, Kothuru, Indukurpet Mandal, SPSR Nellore Dist,,AP",NELLORE,Andhra Pradesh,SBI
9,M/S AYODHYA KISAN SEVA KENDRA,"S.NO.680, KANEKAL,,ANANTAPUR",ANANTAPUR,Andhra Pradesh,SBI
10,M/S KUSUMITHA KISAN SEVA KENDRA,"IOC DEALERS, BELUGUPPA/BELUGUPPA/ANDHRA PRADESH,BELUGUPPA",ANANTAPUR,Andhra Pradesh,SBI
11,MDB KISAN SEVA KENDRA,"PILER Road,,T. SUNDUPALLI.",CUDDAPAH,Andhra Pradesh,SBI
12,"C S BHAYA VARDHAN (HEMA LATHA FILLINGSTATION)","20/37-2 YERRAGUNTLA ROAD,PRODDATUR,AP",CUDDAPAH,Andhra Pradesh,SBI
13,SRI VENKATA SAI KISAN SEVA KENDRA,"SY NO 148/1A, KOILKUNTLA ROAD,BANAGANAPALLI",KURNOOL,Andhra Pradesh,SBI
14,RAVI FUEL POINT,"RS NO 498/1A 1 VIJAYAWADA ROAD,PENUGANCHIPROLU",KRISHNA,Andhra Pradesh,SBI
15,RAMANJANEYA FILLING STATION,"IOCL JONNALAGADDA,NANDIGAMA MANDAL",KRISHNA,Andhra Pradesh,SBI
16,HONEY SERVICE STATION,"15-15A GUNADALA ROAD, NUNNA,VIJAYAWADA",KRISHNA,Andhra Pradesh,SBI
17,YKR FILLING STATION,"RS No.118 IOCL Dealer, Alluru Village Veerulapadu Mandal,Krishna Dt",KRISHNA,Andhra Pradesh,SBI
18,SHREE HEMANTH KISAN SEVA KENDRA,"SURVEY NO 270B BETHAPUDI VILLAGE,PHIRANGIPURAM MANDAL GUNTUR",GUNTUR,Andhra Pradesh,SBI
19,GURU SAI KSK PETROL FUELS,"KALLUR ROAD KALLUR ROAD,KALLUR ROAD SADUM",CHITTOOR,Andhra Pradesh,SBI
20,SRI LAKSHMI FUELS,"322/3, KISAN SEVA KENDRAM,PONNAMANDA (RAZOLE MANDAL)E.G.DISTRICT",EAST GODAVARI,Andhra Pradesh,SBI
21,BHAVANI FILLING STATION,"S NO 17 1A GUDIVADA TO H JUNCTION ROAD,JANARDHANAPURAM NANDIVADA MANDAL",KRISHNA,Andhra Pradesh,SBI
22,GOPAL FILLING STATION,"GOPAL FILLING STATION KALLACHERUVU,KALLACHERUVU",WEST GODAVARI,Andhra Pradesh,SBI
23,Rama Raghavendra Oil Filling Station,"KALIDINDI ROAD, OPP.BHARAT GASDOWN, KAIKALUR, KRISHNA DIST,,A.P",KRISHNA,Andhra Pradesh,SBI
24,Lakshmi Fuels KSK,"POLAVARAPU KEERTHI CHOWDARY S.NO. 597-2PATHAKUNTA DHARMAVARAM ANDHRAPRADESH,ap",ANANTAPUR,Andhra Pradesh,SBI
25,RIZWAN FILLING STATION,"RS NO 461 2 MUKTYALA ROAD,IOCL DEALER JAGGAYYAPET",KRISHNA,Andhra Pradesh,SBI
26,SRI VENUGOPAL FILLING STATION,"IOC DEALER,,REDDYGUDEM",KRISHNA,Andhra Pradesh,SBI
27,SRI KANYAKA DEVI AGENCIES,"SRI KANYAKA DEVI AGENCIES MAIN ROAD,PULIMERU PEDDAPURAM",EAST GODAVARI,Andhra Pradesh,SBI
28,KANAGALA FILLING STATION,"KOLLUR MAIN ROAD,KOLLUR",GUNTUR,Andhra Pradesh,SBI
29,SRI HARIKA FILLING STATION,"REVENDRAPADU VANTENA,REVENDRAPADU",GUNTUR,Andhra Pradesh,SBI
30,SITARAMA AGRO AND FILLING STATION,"GUNTUR ROAD,PEDANANDIPADU",GUNTUR,Andhra Pradesh,SBI
31,SUBHA ENTERPRISES,"JAMMUNARAYANAPURAM,VIZIANAGARAM",VIZIANAGARAM,Andhra Pradesh,SBI
32,M/S SRI VIGNESWARA FILLING STATION,"D NO 24813, MAIN ROAD, KOTHAGUNTA ROAD,CHITTAMURU",NELLORE,Andhra Pradesh,SBI
33,SRI CHENCHU CHAITANYA FILLING STATION,"NEAR VENKAIAH SWAMY TEMPLE,,KALUVOY, SPSR NELLORE DIST",NELLORE,Andhra Pradesh,SBI
34,Ms SUNDARAM FILLING STATION,"Ms SUNDARAM FILLING STATION PACHIPENTA VILLAGE SAL,BEHIND AIRTEL TOWERS PACHIPENTAVILLAGE SALUR MAND",VIZIANAGARAM,Andhra Pradesh,SBI
